Force,Length
0.2,9.8
36.6,13.17377049
11.4,10.7841
2.2,10.1342
25,11.88852459
40,13.81639344
27,12.53123579
5.6,10.44268178
30.2,12.77213115
4.2,10.28306545
27.4,12.49090516
