Force,Length
0,9.799988386
132.7,13.89126214
61.4,11.71485228
135.4,14.3194407
21,10.68029453
58.8,11.45166869
9.4,10.37092024
84,12.46407767
21.6,10.70397641
112.8,13.60582524
55.2,11.70291262
