Force,Length
0.0,3.703476170153687
12.6,3.964285714
27.6,4.360714286
35.4,4.625
43.4,4.955357143
49.0,5.351785714
29.2,4.823214286
17.6,4.360714286
9.2,4.096428571
0.0,3.7826054167199707
