Force,Length
0.2,9.671130952
124,12.79485212
33.8,10.53142857
133.2,13.57927827
47.2,11.08571429
127,13.46623791
56.4,11.3716419
96.8,12.56375314
128.2,13.62619048
28.4,10.80866164
90,12.47142857
