Force,Length
0.2,9.933655212
77.2,11.81818182
33,10.69936899
103,12.77944712
19.4,10.48951049
89.3,12.59142469
116,13.42793925
26.2,10.71678322
119.4,13.63636364
21.4,10.59583971
110.2,13.55747036
