Force,Length
0,9.900034777
4,11.39568345
5.2,12.5352518
6.2,14.03072659
6.8,15.38417266
5.4,14.38710253
4,13.14121261
3.2,12.41117663
1.8,11.48526975
1.2,10.89708759
