Force,Length
0,9.720967742
70.6,11.13430609
106.4,12.32910944
55.2,11.02650501
136,13.59351944
19.6,10.35322581
72.2,11.57830299
104.6,12.46795615
9.6,10.15595388
132,13.63792685
16.2,10.35430633
